disaster_id,storm_name_clean,year,month,decade,era,region,location,intensity_category,deaths,affected,affected_millions,displaced,damage_usd,damage_billions
1990-0122-PHL,Mike (Ruping),1990,11.0,1990s,Pre-2010,Visayas,"Samar, Masbate provinces, Palwan, Iloilo, Negros occidental, Cebu",Catastrophic,503,6159569,6.159569,1110020,388500000.0,0.3885
1990-0400-PHL,Becky,1990,8.0,1990s,Pre-2010,Unspecified,,Moderate,85,0,0.0,0,0.0,0.0
1990-0401-PHL,Abe,1990,8.0,1990s,Pre-2010,Unspecified,North,Moderate,85,0,0.0,0,0.0,0.0
1990-0687-PHL,Dot,1990,9.0,1990s,Pre-2010,Unspecified,,Minor,0,0,0.0,0,0.0,0.0
1991-0174-PHL,Brendan,1991,7.0,1990s,Pre-2010,Unspecified,Near Tuguegaro (Pinatubo region),Minor,2,10000,0.01,10000,0.0,0.0
1991-0382-PHL,Ruth (Trining),1991,10.0,1990s,Pre-2010,Luzon,Luzon Isl.,Moderate,65,316038,0.316038,16000,90000000.0,0.09
1991-0383-PHL,Thelma (Uring),1991,11.0,1990s,Pre-2010,Visayas,"Bago, La Cariota, Bacalod (Negros) and Leyte",Catastrophic,5956,647254,0.647254,45750,100000000.0,0.1
1991-0517-PHL,Zeke (Etang),1991,7.0,1990s,Pre-2010,Luzon,"Catanduanes, Albay, Quezon Provinces (Southern Luzon Isl.)",Severe,47,505777,0.505777,0,85000000.0,0.085
1991-0521-PHL,Amy,1991,7.0,1990s,Pre-2010,Luzon,"Pampanga, Tarlac provinces",Minor,4,2500,0.0025,2500,0.0,0.0
1991-0525-PHL,Caitlin,1991,7.0,1990s,Pre-2010,Luzon,"Concepcion, Floridablanca, Manila",Minor,9,90296,0.090296,0,0.0,0.0
1992-0295-PHL,Eli (Konsing),1992,7.0,1990s,Pre-2010,Luzon,"Aurora, Zambales, Nueva Ecija, Nueva Vizcaya, Pangasinan, La Union, Benguet, Ifugao, Isabela, Tarlac provinces",Moderate,22,5135,0.005135,0,0.0,0.0
1992-0296-PHL,Gary,1992,7.0,1990s,Pre-2010,Luzon,Regions III and NCR,Moderate,42,134494,0.134494,0,0.0,0.0
1992-0492-PHL,Omar (Lusing),1992,8.0,1990s,Pre-2010,Luzon,Luzon Isl.,Moderate,11,173569,0.173569,1965,0.0,0.0
1993-0055-PHL,Koryn (Goring),1993,6.0,1990s,Pre-2010,Unspecified,"Cordillera autonomous region (including Bagio city), Regions I-IV (including Metro Manilla)",Minor,2,43735,0.043735,14322,442000.0,0.000442
1993-0077-PHL,Flo (Kadiang),1993,10.0,1990s,Pre-2010,Luzon,"Pampanga, Nueva Viscaya, Tarlac, Cagayan, Cavite, Bataan, Bulacan, Pangasinan, Nueva Ecija, Metro Manilla provinces",Catastrophic,124,1941566,1.941566,0,188000000.0,0.188
1993-0087-PHL,Lola (Monang) and Manny (Naning),1993,12.0,1990s,Pre-2010,Visayas,"Catanduanes, Camarines Sur, Camarines Norte, Albay, Marinduque, Mindoro Oriental, Quezon, Laguna, Batangas, Rizal provinces (Bicol peninsula, Luzon) Visayas, Masbate, Sorgoson, Occidental Mindoro, Romblon",Catastrophic,311,1159802,1.159802,164800,50000000.0,0.05
1993-0088-PHL,Kyle,1993,11.0,1990s,Pre-2010,Unspecified,,Minor,1,0,0.0,0,2000000.0,0.002
1993-0228-PHL,Nell (Puring),1993,12.0,1990s,Pre-2010,Mindanao,"Capiz, iloilo, Negros Oriental, Bohol, Cebu, Agusan del Norte, Cagayan de Oro, Caniguin, Southern Leyte, Surigao del Norte, Davao del Norte, Misamis Oriental",Moderate,52,366224,0.366224,0,17000000.0,0.017
1994-0034-PHL,Owen (Bising),1994,4.0,1990s,Pre-2010,Mindanao,"Negros Occidental, Cebu, Surigao del Sur, Palawan, Calaian",Moderate,15,105746,0.105746,59213,0.0,0.0
1994-0071-PHL,Yunya (Norming),1994,7.0,1990s,Pre-2010,Luzon,"Pampanga, Bulacan, Bataan, Zambales, Tarlac, Ilocos Sur, Olongapo, Angeles",Moderate,11,420728,0.420728,0,37600000.0,0.0376
1994-0072-PHL,Tim (Iliang),1994,7.0,1990s,Pre-2010,Luzon,"La Union, Pangasinan, Ilocos Sur, Ilocos Norte provinces, Laoag city (Luzon)",Moderate,17,166585,0.166585,0,1000000.0,0.001
1994-0073-PHL,Sharon (Gading),1994,6.0,1990s,Pre-2010,Luzon,"Metro Manila, Aurora, Nueva Ecija, Pampanga, Tarlac, Zambales provinces (Luzon)",Minor,2,23952,0.023952,0,0.0,0.0
1994-0074-PHL,Caitlin (Pasing),1994,8.0,1990s,Pre-2010,Luzon,"Pampanga, Zambales, Metro Manila (Luzon)",Minor,11,14000,0.014,0,0.0,0.0
