sid,name,year,month,max_wind_kt,max_wind_kmh,lat_min,lat_max,lat_mean,lon_min,lon_max,lon_mean,start_time,end_time,decade,era,category,duration_hours,reached_mindanao
1984294N04163,VANESSA,1984,10,153.0,283.356,15.1,23.5,18.896153846153847,129.2,134.8,131.2076923076923,1984-10-25 21:00:00,1984-10-29 00:00:00,1980s,Pre-2010,Cat 5,75.0,False
1984299N18127,UNNAMED,1984,10,29.0,53.708000000000006,17.7,20.6,18.941176470588236,119.5,127.2,124.30588235294117,1984-10-24 12:00:00,1984-10-26 12:00:00,1980s,Pre-2010,TD,48.0,False
1984302N00149,AGNES,1984,11,118.0,218.536,9.2,12.6,10.919230769230769,115.8,134.6,125.76923076923077,1984-11-03 03:00:00,1984-11-06 06:00:00,1980s,Pre-2010,Cat 4,75.0,True
1984313N14154,BILL,1984,11,130.0,240.76000000000002,12.0,20.4,16.18918918918919,122.5,134.6,126.62972972972973,1984-11-14 03:00:00,1984-11-23 06:00:00,1980s,Pre-2010,Cat 4,219.0,False
1984317N04164,CLARA,1984,11,110.0,203.72,12.5,22.1,16.86315789473684,132.3,134.6,133.04736842105262,1984-11-18 00:00:00,1984-11-20 06:00:00,1980s,Pre-2010,Cat 3,54.0,False
1984336N05156,DOYLE,1984,12,123.0,227.79600000000002,10.6,24.4,16.91627906976744,129.9,135.0,131.97441860465116,1984-12-05 21:00:00,1984-12-11 03:00:00,1980s,Pre-2010,Cat 4,126.0,False
1985004N04131,FABIAN,1985,1,53.0,98.156,5.0,12.7,10.632432432432433,130.5,135.0,133.13783783783785,1985-01-04 06:00:00,1985-01-14 09:00:00,1980s,Pre-2010,TS,243.0,True
1985013N11131,FABIAN,1985,1,25.0,46.300000000000004,10.5,10.8,10.64,131.2,131.6,131.4,1985-01-13 06:00:00,1985-01-13 18:00:00,1980s,Pre-2010,TD,12.0,False
1985110N12127,UNNAMED,1985,4,38.0,70.376,12.0,18.1,15.375,126.4,134.5,128.975,1985-04-20 00:00:00,1985-04-22 21:00:00,1980s,Pre-2010,TS,69.0,False
1985136N07129,GAY,1985,5,100.0,185.20000000000002,6.5,24.7,13.336986301369864,128.5,132.2,130.72328767123287,1985-05-16 00:00:00,1985-05-25 00:00:00,1980s,Pre-2010,Cat 3,216.0,True
1985162N05154,HAL,1985,6,98.0,181.496,14.1,23.5,18.371739130434783,115.0,134.7,123.34347826086957,1985-06-19 00:00:00,1985-06-24 15:00:00,1980s,Pre-2010,Cat 3,135.0,False
1985168N05156,IRMA,1985,6,88.0,162.976,9.1,24.4,15.323529411764707,129.6,134.7,130.89705882352942,1985-06-24 21:00:00,1985-06-29 00:00:00,1980s,Pre-2010,Cat 2,99.0,True
1985168N22122,UNNAMED,1985,6,23.0,42.596000000000004,21.5,25.0,23.22142857142857,121.5,124.4,122.89285714285714,1985-06-17 00:00:00,1985-06-18 15:00:00,1980s,Pre-2010,TD,39.0,False
1985179N21115,UNNAMED,1985,6,23.0,42.596000000000004,20.7,23.7,21.817241379310346,115.0,118.8,116.95172413793104,1985-06-28 00:00:00,1985-07-02 00:00:00,1980s,Pre-2010,TD,96.0,False
1985183N08136,UNNAMED,1985,7,29.0,53.708000000000006,9.5,24.0,15.491111111111111,115.1,134.8,121.64222222222222,1985-07-03 06:00:00,1985-07-08 18:00:00,1980s,Pre-2010,TD,132.0,True
1985199N08143,JEFF,1985,7,63.0,116.676,24.8,25.0,24.915384615384614,125.5,132.2,128.4923076923077,1985-07-27 09:00:00,1985-07-28 21:00:00,1980s,Pre-2010,TS,36.0,False
1985220N18128,LEE,1985,8,48.0,88.896,18.0,24.9,21.66875,128.1,131.3,130.203125,1985-08-08 00:00:00,1985-08-11 21:00:00,1980s,Pre-2010,TS,93.0,False
1985226N23126,MAMIE,1985,8,23.0,42.596000000000004,22.5,25.0,23.9,124.0,126.3,124.71,1985-08-14 00:00:00,1985-08-15 03:00:00,1980s,Pre-2010,TD,27.0,False
1985227N16149,NELSON,1985,8,93.0,172.23600000000002,23.0,25.0,23.799999999999997,123.3,134.9,129.3846153846154,1985-08-19 12:00:00,1985-08-22 15:00:00,1980s,Pre-2010,Cat 2,75.0,False
1985231N25121,UNNAMED,1985,8,23.0,42.596000000000004,23.1,24.5,23.80666666666667,115.0,120.5,118.27333333333333,1985-08-19 00:00:00,1985-08-20 18:00:00,1980s,Pre-2010,TD,42.0,False
1985236N23125,PAT,1985,8,83.0,153.716,21.2,24.9,22.874468085106383,122.4,131.0,126.41489361702128,1985-08-24 00:00:00,1985-08-29 18:00:00,1980s,Pre-2010,Cat 2,138.0,False
1985237N21130,RUBY,1985,8,,,19.5,21.4,20.3875,130.2,134.3,132.225,1985-08-25 00:00:00,1985-08-25 21:00:00,1980s,Pre-2010,Unknown,21.0,False
1985240N08148,TESS,1985,8,68.0,125.936,14.7,19.1,16.070588235294117,115.3,134.9,124.7470588235294,1985-08-31 12:00:00,1985-09-04 15:00:00,1980s,Pre-2010,Cat 1,99.0,False
1985256N13146,VAL,1985,9,50.0,92.60000000000001,18.0,22.2,20.743333333333332,115.0,135.0,123.84666666666666,1985-09-14 15:00:00,1985-09-18 06:00:00,1980s,Pre-2010,TS,87.0,False
1985260N13115,WINONA,1985,9,25.0,46.300000000000004,13.1,24.7,15.569230769230769,115.0,116.5,115.22307692307692,1985-09-17 18:00:00,1985-09-24 00:00:00,1980s,Pre-2010,TD,150.0,False
